Layer,Name,GEOID,CHARJJE_2024,CHARJJE_2024_moe
(Indicator name),,,"Opioid-related ED visits (count of ED visits), 2024",(90% margin of error)
(Definition),,,"Number of emergency department visits due to opioid-related events and conditions.",
(Citation),,,"Illinois Department of Public Health - Hospital Discharge Data",
---,---,---,---,---
Zip code,60605,60605,23.0,
Zip code,60607,60607,68.0,
Zip code,60608,60608,145.0,
Zip code,60609,60609,94.0,
Zip code,60610,60610,49.0,
Zip code,60611,60611,39.0,
Zip code,60612,60612,297.0,
Zip code,60613,60613,25.0,
Zip code,60614,60614,26.0,
Zip code,60615,60615,41.0,
Zip code,60616,60616,26.0,
Zip code,60617,60617,86.0,
Zip code,60618,60618,29.0,
Zip code,60619,60619,168.0,
Zip code,60620,60620,141.0,
Zip code,60621,60621,148.0,
Zip code,60622,60622,112.0,
Zip code,60623,60623,243.0,
Zip code,60624,60624,339.0,
Zip code,60625,60625,35.0,
Zip code,60626,60626,48.0,
Zip code,60628,60628,160.0,
Zip code,60629,60629,113.0,
Zip code,60630,60630,18.0,
Zip code,60631,60631,16.0,
Zip code,60632,60632,41.0,
Zip code,60634,60634,35.0,
Zip code,60636,60636,127.0,
Zip code,60637,60637,101.0,
Zip code,60638,60638,32.0,
Zip code,60639,60639,98.0,
Zip code,60640,60640,120.0,
Zip code,60641,60641,62.0,
Zip code,60643,60643,58.0,
Zip code,60644,60644,419.0,
Zip code,60645,60645,28.0,
Zip code,60647,60647,83.0,
Zip code,60649,60649,102.0,
Zip code,60651,60651,351.0,
Zip code,60652,60652,30.0,
Zip code,60653,60653,102.0,
Zip code,60654,60654,18.0,
Zip code,60657,60657,22.0,
Zip code,60659,60659,18.0,
Zip code,60660,60660,27.0,
Zip code,60707,60707,36.0,
Zip code,60827,60827,41.0,
